Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
249,University of Massachusetts-Amherst,"Research University, For Sports Fans, State School","$73,700 ","$126,200 ",28%
250,Seton Hall University,"Private School, Religious, Research University, For Sports Fans","$72,800 ","$126,100 ",11%
250,Auburn University,"Research University, For Sports Fans, State School","$69,700 ","$126,100 ",31%
252,University of Illinois Chicago,"Research University, For Sports Fans, State School","$72,200 ","$125,900 ",28%
253,Lake Forest College,"Liberal Arts School, Private School","$69,300 ","$125,700 ",23%
253,Pitzer College,"Liberal Arts School, Private School","$69,700 ","$125,700 ",18%
255,The University of the South,"Liberal Arts School, Party School, Private School, Religious","$67,700 ","$125,600 ",23%
256,Montana Technological University,"Engineering, State School","$74,800 ","$125,500 ",57%
257,University of Pittsburgh-Pittsburgh Campus,"Research University, For Sports Fans, State School","$74,500 ","$125,100 ",29%
258,Ohio Wesleyan University,"Liberal Arts School, Private School, Religious","$60,900 ","$125,000 ",25%
258,California State University-Long Beach,"For Sports Fans, State School","$67,300 ","$125,000 ",17%
258,University of Maryland-Baltimore County,"Research University, For Sports Fans, State School","$74,500 ","$125,000 ",47%
261,SUNY Downstate Health Sciences University,State School,"$83,100 ","$124,900 ",1%
261,Butler University,"Private School, For Sports Fans","$64,000 ","$124,900 ",9%
261,Spring Hill College,"Liberal Arts School, Private School, Religious","$58,700 ","$124,900 ",9%
264,La Salle University,"Private School, Religious, For Sports Fans","$67,200 ","$124,800 ",6%
265,The College of Wooster,"Liberal Arts School, Private School","$60,600 ","$124,600 ",37%
265,California State University-East Bay,State School,"$74,000 ","$124,600 ",13%
267,Iona University,"Private School, Religious, For Sports Fans","$69,500 ","$124,500 ",6%
267,Texas A & M University-Kingsville,"Research University, State School","$64,600 ","$124,500 ",33%
267,Illinois Wesleyan University,"Liberal Arts School, Private School","$70,300 ","$124,500 ",17%
270,Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$67,100 ","$124,400 ",11%
270,Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$67,100 ","$124,400 ",11%
270,DePauw University,"Liberal Arts School, Private School","$72,600 ","$124,400 ",26%
273,North Central College,"Private School, Religious","$61,900 ","$124,200 ",13%
274,Siena College,"Liberal Arts School, Private School, Religious, For Sports Fans","$69,400 ","$124,100 ",18%
274,West Virginia University Institute of Technology,State School,"$68,300 ","$124,100 ",44%
274,University of Miami,"Private School, Research University, For Sports Fans","$72,800 ","$124,100 ",22%
274,Drake University,"Private School, For Sports Fans","$66,000 ","$124,100 ",6%
278,University of Arizona,"Research University, For Sports Fans, State School","$70,400 ","$123,800 ",24%
279,Furman University,"Liberal Arts School, Private School, For Sports Fans","$65,200 ","$123,700 ",20%
280,University of Oregon,"Research University, For Sports Fans, State School","$65,700 ","$123,600 ",14%
280,Universidad Ana G. Mendez-Cupey Campus,Private School,"$58,100 ","$123,600 ",5%
282,University of Rhode Island,"Party School, Research University, For Sports Fans, State School","$69,400 ","$123,500 ",20%
282,Sonoma State University,State School,"$68,100 ","$123,500 ",12%
282,Grinnell College,"Liberal Arts School, Private School","$70,500 ","$123,500 ",45%
282,Hampshire College,"Liberal Arts School, Private School","$58,500 ","$123,500 ",13%
286,Oregon Health & Science University,State School,"$85,700 ","$123,400 ",8%
286,Oregon Institute of Technology,State School,"$78,500 ","$123,400 ",30%
286,Taylor University,"Private School, Religious","$62,600 ","$123,400 ",22%
286,Boston Architectural College,Private School,"$63,500 ","$123,400 ",0%
290,Muhlenberg College,"Liberal Arts School, Private School, Religious","$67,500 ","$123,300 ",20%
291,Howard University,"Private School, Research University, For Sports Fans","$70,600 ","$123,200 ",14%
291,California State University-Fresno,"Research University, For Sports Fans, State School","$64,900 ","$123,200 ",11%
291,Louisiana State University and Agricultural & Mechanical College,"Research University, For Sports Fans, State School","$67,900 ","$123,200 ",20%
294,University of Vermont,"Research University, For Sports Fans, State School","$68,000 ","$123,100 ",25%
294,Texas Christian University,"Private School, Religious, Research University, For Sports Fans","$70,800 ","$123,100 ",10%
296,Smith College,"Liberal Arts School, Private School","$67,500 ","$123,000 ",29%
296,University of Iowa,"Research University, For Sports Fans, State School","$68,600 ","$123,000 ",14%
298,Grove City College,"Liberal Arts School, Private School, Religious, Sober School","$70,000 ","$122,900 ",31%
298,Sacred Heart University,"Private School, Religious, For Sports Fans","$70,000 ","$122,900 ",12%
300,The Juilliard School,"Art, Private School","$64,100 ","$122,800 ",0%
301,Pacific University,Private School,"$60,800 ","$122,700 ",7%
301,Long Island University,Private School,"$64,600 ","$122,700 ",5%
301,Washington & Jefferson College,"Liberal Arts School, Private School","$62,900 ","$122,700 ",25%
301,Mount Saint Mary's University,"Private School, Religious","$73,300 ","$122,700 ",2%
305,Drew University,"Liberal Arts School, Private School, Religious","$67,700 ","$122,600 ",15%
305,University of Idaho,"Research University, For Sports Fans, State School","$65,500 ","$122,600 ",21%
307,John Carroll University,"Private School, Religious","$62,800 ","$122,500 ",14%
307,San Francisco State University,"Research University, State School","$73,900 ","$122,500 ",17%
307,Michigan State University,"Research University, For Sports Fans, State School","$70,300 ","$122,500 ",25%
307,University of Missouri-Columbia,"Research University, For Sports Fans, State School","$66,800 ","$122,500 ",15%
311,Merrimack College,"Private School, Religious","$68,800 ","$122,400 ",11%
312,New York Institute of Technology,Private School,"$70,300 ","$122,300 ",32%
312,Biola University,"Private School, Religious, Research University","$65,300 ","$122,300 ",8%
312,University of Minnesota-Duluth,State School,"$67,900 ","$122,300 ",32%
315,Montclair State University,"Research University, State School","$63,200 ","$122,100 ",10%
315,California State University-Fullerton,"Research University, For Sports Fans, State School","$64,900 ","$122,100 ",14%
315,University of Alaska Fairbanks,"Research University, State School","$71,000 ","$122,100 ",19%
318,Pacific Lutheran University,"Private School, Religious","$69,100 ","$122,000 ",15%
319,University of North Carolina at Chapel Hill,"Research University, For Sports Fans, State School","$71,300 ","$121,900 ",23%
319,LeTourneau University,"Private School, Religious","$75,400 ","$121,900 ",23%
319,Gustavus Adolphus College,"Liberal Arts School, Private School, Religious","$64,700 ","$121,900 ",20%
319,Assumption University,"Private School, Religious","$66,100 ","$121,900 ",9%
323,Bryn Mawr College,"Liberal Arts School, Private School","$72,500 ","$121,800 ",25%
323,West Virginia University,"Party School, Research University, For Sports Fans, State School","$67,800 ","$121,800 ",23%
323,Iowa State University,"Research University, For Sports Fans, State School","$71,600 ","$121,800 ",39%
