Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
1423,Reinhardt University,"Private School, Religious","$51,400 ","$81,900 ",6%
1425,University of North Carolina at Pembroke,State School,"$50,400 ","$81,800 ",9%
1425,Concordia University Ann Arbor,"Private School, Religious","$44,800 ","$81,800 ",7%
1427,Lancaster Bible College,Private School,"$55,000 ","$81,700 ",0%
1428,Johnson & Wales University-Charlotte,Private School,"$50,500 ","$81,500 ",0%
1429,University of Valley Forge,"Private School, Religious","$48,300 ","$81,400 ",0%
1430,Bethune-Cookman University,"Liberal Arts School, Private School, Religious, For Sports Fans","$54,000 ","$81,300 ",7%
1431,Black Hills State University,State School,"$52,000 ","$81,200 ",13%
1431,Grambling State University,"For Sports Fans, State School","$55,100 ","$81,200 ",15%
1433,Midway University,"Private School, Religious","$51,100 ","$81,000 ",3%
1434,Chowan University,"Private School, Religious","$51,200 ","$80,900 ",7%
1434,Alcorn State University,"For Sports Fans, State School","$57,700 ","$80,900 ",27%
1436,Brewton-Parker College,"Private School, Religious","$44,700 ","$80,800 ",10%
1437,Broward College,State School,"$59,400 ","$80,600 ",9%
1438,Ohio State University-Lima Campus,State School,"$49,600 ","$80,400 ",6%
1438,Philander Smith College,"Liberal Arts School, Private School, Religious","$45,200 ","$80,400 ",18%
1440,Lincoln Memorial University,Private School,"$54,200 ","$80,300 ",6%
1441,William Carey University,"Private School, Religious","$52,800 ","$80,200 ",6%
1442,Florida Memorial University,"Private School, Religious","$47,900 ","$80,100 ",15%
1443,Tougaloo College,"Liberal Arts School, Private School, Religious","$45,700 ","$80,000 ",24%
1444,University of Mount Olive,"Private School, Religious","$54,500 ","$79,900 ",4%
1444,College of Coastal Georgia,State School,"$52,800 ","$79,900 ",6%
1444,Lincoln Christian University,"Private School, Religious","$49,600 ","$79,900 ",0%
1444,Harris-Stowe State University,State School,"$47,400 ","$79,900 ",22%
1448,Bay Path University,Private School,"$56,700 ","$79,800 ",4%
1449,Central Baptist College,"Private School, Religious","$44,400 ","$79,700 ",8%
1450,Heritage University,Private School,"$52,600 ","$79,500 ",5%
1451,Livingstone College,"Private School, Religious","$46,200 ","$79,000 ",20%
1452,William Woods University,"Private School, Religious","$51,400 ","$78,900 ",2%
1453,The University of Montana-Western,State School,"$47,000 ","$78,700 ",5%
1454,Universidad Ana G. Mendez-Carolina Campus,Private School,"$45,300 ","$78,600 ",8%
1455,Fort Valley State University,State School,"$45,400 ","$78,500 ",15%
1456,Nazarene Bible College,"Private School, Religious","$47,800 ","$77,900 ",0%
1457,Clarks Summit University,"Private School, Religious","$49,800 ","$77,800 ",2%
1457,Fayetteville State University,State School,"$49,200 ","$77,800 ",5%
1457,Concordia University-Nebraska,"Private School, Religious","$51,200 ","$77,800 ",7%
1460,Converse University,Private School,"$51,400 ","$77,700 ",7%
1461,Louisiana State University-Alexandria,"Liberal Arts School, State School","$47,100 ","$77,600 ",5%
1462,Keiser University-Ft Lauderdale,Private School,"$57,200 ","$77,500 ",5%
1463,Le Moyne-Owen College,"Private School, Religious","$53,800 ","$77,400 ",22%
1464,Benedict College,"Private School, Religious","$50,000 ","$77,300 ",18%
1465,Hallmark University,Private School,"$47,800 ","$77,100 ",35%
1466,Lane College,"Private School, Religious","$48,900 ","$77,000 ",24%
1467,Northland College,"Liberal Arts School, Private School, Religious","$46,200 ","$76,700 ",28%
1468,Saint Augustine's University,"Private School, Religious","$49,300 ","$76,600 ",24%
1468,Trinity Bible College and Graduate School,"Private School, Religious","$47,700 ","$76,600 ",0%
1468,Bethel University (Tennessee),"Private School, Religious","$48,800 ","$76,600 ",2%
1471,Mississippi University for Women,State School,"$51,100 ","$76,500 ",3%
1472,Prescott College,Private School,"$54,400 ","$76,300 ",0%
1473,Columbia College (South Carolina),"Private School, Religious","$52,200 ","$76,200 ",3%
1474,West Virginia University at Parkersburg,State School,"$46,100 ","$76,100 ",2%
1475,King University,"Private School, Religious","$52,300 ","$75,500 ",6%
1476,Martin University,"Liberal Arts School, Private School","$42,400 ","$75,300 ",0%
1476,Campbellsville University,"Private School, Religious","$49,200 ","$75,300 ",38%
1478,Cheyney University of Pennsylvania,"Liberal Arts School, State School","$48,000 ","$74,900 ",16%
1478,Ozark Christian College,"Private School, Religious","$45,500 ","$74,900 ",0%
1480,Ohio Christian University,"Private School, Religious","$48,400 ","$74,600 ",0%
1481,Miles College,"Private School, Religious","$45,500 ","$74,500 ",17%
1482,Virginia Union University,"Liberal Arts School, Private School, Religious","$50,600 ","$74,200 ",11%
1483,Voorhees University,"Private School, Religious","$40,000 ","$73,500 ",14%
1483,Pacific Oaks College,Private School,"$44,400 ","$73,500 ",0%
1485,Lindsey Wilson College,"Private School, Religious","$44,100 ","$73,100 ",7%
1486,"Springfield College-Regional, Online, and Continuing Education",Private School,"$45,400 ","$73,000 ",0%
1487,Coker University,Private School,"$46,000 ","$72,600 ",8%
1488,Toccoa Falls College,"Private School, Religious","$47,800 ","$71,900 ",3%
1489,Wilson College,"Private School, Religious","$46,000 ","$71,600 ",3%
1489,Edward Waters University,"Private School, Religious","$41,500 ","$71,600 ",17%
1491,Southern University at New Orleans,State School,"$51,600 ","$71,500 ",11%
1492,Rust College,"Private School, Religious","$43,400 ","$71,200 ",34%
1493,Mississippi Valley State University,"For Sports Fans, State School","$39,900 ","$71,100 ",14%
1494,Baptist Bible College,"Private School, Religious","$41,900 ","$70,000 ",0%
1495,Stillman College,"Liberal Arts School, Private School, Religious","$48,300 ","$69,400 ",14%
1496,Shaw University,"Private School, Religious","$45,300 ","$69,200 ",9%
1497,Wiley College,"Private School, Religious","$45,500 ","$69,100 ",6%
1498,Johnson University,"Private School, Religious","$42,400 ","$68,800 ",0%
1499,Morris College,"Private School, Religious","$40,000 ","$68,600 ",1%
1500,Texas College,"Private School, Religious","$42,700 ","$68,300 ",21%
1501,Claflin University,"Liberal Arts School, Private School, Religious","$47,900 ","$68,000 ",22%
1501,The Baptist College of Florida,"Private School, Religious","$41,900 ","$68,000 ",0%
1503,Great Lakes Christian College,"Private School, Religious","$39,500 ","$65,200 ",0%
